14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | Update E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint\Job00000222.json
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | Action: ReInstall_Finished
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | Remark: VM runs on NTXCluster01CL2001.euclab.com
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | User: matthias-maint
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | VM: VDW041VD7XXXZ
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | ENV: MAINT
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | Date: 14.05.2019
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | Time: 14:37:57
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | Outfile: E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint\Job00000222.json
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | Your entered VM VDW041VD7XXXZ is detected on the cluster NTXCluster01CL2001.euclab.com
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | VM: VDW041VD7XXXY - Host VSL041AHV2003 - Cluster: NTXCluster01CL2001.euclab.com
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | Connect to Ivanti DSM
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | User: euclab.com\matthias-Maint
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | PwdFile: E:\appservices\ntx-config\pwd\AES_PASSWORD_FILE_DSM.txt
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | KeyFile: E:\appservices\ntx-config\pwd\AES_KEY_FILE_DSM.key
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | DSMServer: dmw041bls01:8080
14.05.2019 14:37:57 | matthias-Maint | INFORMATION... | URI: http://dmw041bls01:8080/blsAdministration/AdministrationService.asmx?WDSL
14.05.2019 14:37:59 | matthias-Maint | INFORMATION... |  --- Logfile is updated ---
14.05.2019 14:37:59 | matthias-Maint | INFORMATION... | current Logfile: E:\appservices\invoke-ctxdevice\Files\processed\matthias-maint\VWM00000222.log 
